"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 06 17:49:30 GMT 2023","Sat May 06 17:49:30 GMT 2023","1","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","testWithExceptions","testWithExceptions()",""
"skipped","Sat May 06 17:49:30 GMT 2023","Sat May 06 17:49:30 GMT 2023","0","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","skippedTest","skippedTest()",""
"passed","Sat May 06 17:49:30 GMT 2023","Sat May 06 17:49:30 GMT 2023","19","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","testOutput","test features of allure: steps","this is a description 
 of using 
 allure reports"
"passed","Sat May 06 17:49:30 GMT 2023","Sat May 06 17:49:30 GMT 2023","10","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","failedTest","failedTest()",""
