"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 05:02:07 GMT 2023","Tue Aug 08 05:02:07 GMT 2023","16","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","failedTest","failedTest()",""
"skipped","Tue Aug 08 05:02:07 GMT 2023","Tue Aug 08 05:02:07 GMT 2023","1","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","testWithExceptions","testWithExceptions()",""
"passed","Tue Aug 08 05:02:07 GMT 2023","Tue Aug 08 05:02:07 GMT 2023","38","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","testOutput","test features of allure: steps","this is a description 
 of using 
 allure reports"
"skipped","Tue Aug 08 05:02:07 GMT 2023","Tue Aug 08 05:02:07 GMT 2023","1","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","skippedTest","skippedTest()",""
