"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 17:15:41 GMT 2023","Sun May 07 17:15:41 GMT 2023","36","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","testOutput","test features of allure: steps","this is a description 
 of using 
 allure reports"
"passed","Sun May 07 17:15:40 GMT 2023","Sun May 07 17:15:40 GMT 2023","13","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","failedTest","failedTest()",""
"skipped","Sun May 07 17:15:40 GMT 2023","Sun May 07 17:15:40 GMT 2023","0","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","testWithExceptions","testWithExceptions()",""
"skipped","Sun May 07 17:15:40 GMT 2023","Sun May 07 17:15:40 GMT 2023","0","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","skippedTest","skippedTest()",""
