"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 09 16:36:55 GMT 2023","Tue May 09 16:36:55 GMT 2023","0","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","skippedTest","skippedTest()",""
"passed","Tue May 09 16:36:55 GMT 2023","Tue May 09 16:36:55 GMT 2023","40","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","testOutput","test features of allure: steps","this is a description 
 of using 
 allure reports"
"skipped","Tue May 09 16:36:55 GMT 2023","Tue May 09 16:36:55 GMT 2023","1","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","testWithExceptions","testWithExceptions()",""
"passed","Tue May 09 16:36:55 GMT 2023","Tue May 09 16:36:55 GMT 2023","15","","io.qameta.junit5.SimpleTestWithStatuses","","io.qameta.junit5.SimpleTestWithStatuses","failedTest","failedTest()",""
